State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,Smackover,"1,868",5,4,1,,,,
,Springdale,"69,759",158,117,41,,,,
,Stamps,"1,893",3,3,0,,,,
,Star City,"2,213",6,5,1,,,,
,Stuttgart,"8,969",27,19,8,,,,
,Swifton,790,2,1,1,,,,
,Texarkana,"29,855",123,83,40,,,,
,Trumann,"6,792",22,15,7,,,,
,Tuckerman,"1,645",3,2,1,,,,
,Van Buren,"22,396",51,37,14,,,,
,Vilonia,"3,515",8,8,0,,,,
,Waldron,"3,597",9,8,1,,,,
,Walnut Ridge,"4,640",9,8,1,,,,
,Ward,"3,806",8,5,3,,,,
,Warren,"6,115",21,12,9,,,,
,Weiner,729,1,1,0,,,,
,West Fork,"2,358",7,6,1,,,,
,West Memphis,"27,446",91,71,20,,,,
,White Hall,"5,152",15,13,2,,,,
,Wynne,"8,334",19,17,2,,,,
CALIFORNIA,Alameda,"69,998",138,94,44,,,,
,Albany,"15,909",35,25,10,,,,
,Alhambra,"86,404",130,84,46,,,,
,Alturas,"2,784",7,6,1,,,,
,Anaheim,"333,746",606,424,182,,,,
,Anderson,"10,739",29,18,11,,,,
,Antioch,"100,702",167,118,49,,,,
,Arcadia,"56,605",102,66,36,,,,
,Arcata,"17,073",32,22,10,,,,
,Arroyo Grande,"17,051",31,23,8,,,,
,Arvin,"15,219",22,15,7,,,,
,Atascadero,"28,200",40,28,12,,,,
,Atherton,"7,352",24,19,5,,,,
,Atwater,"27,450",43,33,10,,,,
,Auburn,"13,084",33,22,11,,,,
,Azusa,"46,840",89,62,27,,,,
,Bakersfield,"326,046",486,351,135,,,,
,Baldwin Park,"78,031",103,73,30,,,,
,Banning,"29,816",55,38,17,,,,
,Barstow,"24,942",51,34,17,,,,
,Bear Valley,"4,592",16,8,8,,,,
,Beaumont,"34,208",76,56,20,,,,
,Bell,"36,877",55,38,17,,,,
,Bell Gardens,"44,939",73,54,19,,,,
,Belmont,"24,588",45,32,13,,,,
,Belvedere,"2,050",9,8,1,,,,
,Benicia,"26,255",51,36,15,,,,
,Berkeley,"101,170",289,187,102,,,,
,Beverly Hills,"34,684",195,137,58,,,,
,Bishop,"3,444",19,13,6,,,,
,Blythe,"23,042",37,25,12,,,,
,Brawley,"22,611",44,32,12,,,,
,Brea,"38,762",144,103,41,,,,
,Brentwood,"52,741",73,57,16,,,,
,Brisbane,"3,641",18,15,3,,,,
,Broadmoor,"4,369",12,11,1,,,,
,Buena Park,"79,431",139,93,46,,,,
,Burbank,"103,640",251,155,96,,,,
,Burlingame,"27,474",63,44,19,,,,
,Calexico,"39,134",76,46,30,,,,
,California City,"14,652",23,17,6,,,,
,Calipatria,"7,676",5,5,0,,,,
,Calistoga,"5,165",15,11,4,,,,
,Campbell,"37,649",66,45,21,,,,
,Capitola,"9,457",33,22,11,,,,
,Carlsbad,"97,670",160,116,44,,,,
,Carmel,"3,870",22,14,8,,,,
,Cathedral City,"53,601",94,57,37,,,,
,Ceres,"43,819",73,51,22,,,,
,Chico,"84,086",139,90,49,,,,
,Chino,"84,595",146,97,49,,,,
,Chowchilla,"19,268",26,19,7,,,,
,Chula Vista,"223,408",333,245,88,,,,
,Citrus Heights,"84,361",128,83,45,,,,
